City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
332,Saldanha,ZA,66.42,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
334,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
335,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
337,Taltal,CL,65.25,scattered clouds,-25.4,-70.4833,Residencial Karime
339,Kieta,PG,81.16,light rain,-6.2167,155.6333,Uruna Bay Retreat
340,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
341,Gushikawa,JP,67.59,overcast clouds,26.3544,127.8686,Kirari Guest House
342,Mbala,ZM,67.87,overcast clouds,-8.8402,31.3659,Lake Chila Lodge
344,Aripuana,BR,71.91,overcast clouds,-9.1667,-60.6333,
347,Chahal,GT,67.64,few clouds,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
348,Daru,PG,82.0,overcast clouds,-9.0763,143.2092,Daru Lodge
351,Bunda,TZ,73.98,broken clouds,-2.05,33.8667,Tembea Mara at Balili Village
352,Mitsamiouli,KM,84.9,overcast clouds,-11.3847,43.2844,Foyer ADM
354,Inirida,CO,73.56,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
355,Acari,PE,72.95,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
357,Matadi,CD,76.71,light rain,-5.8167,13.45,Hotel Vivi Palace
358,Fayaoue,NC,80.85,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
359,Buin,CL,71.74,clear sky,-33.7333,-70.75,Paihuen
360,Kudahuvadhoo,MV,80.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
365,Palembang,ID,77.09,moderate rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
366,Tecoanapa,MX,77.52,overcast clouds,16.5167,-98.75,Hotel Manglares
368,Barra Dos Coqueiros,BR,78.82,clear sky,-10.9089,-37.0386,Jangadeiro
371,Cidreira,BR,68.97,overcast clouds,-30.1811,-50.2056,Hotel Castelo
375,Nsanje,MW,76.96,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
377,Harper,LR,78.04,clear sky,4.375,-7.7169,Screensaver
378,Ginir,ET,66.27,scattered clouds,7.1333,40.7,Sura Dare Village
381,Gouyave,GD,77.9,clear sky,12.1646,-61.7296,Rumboat Retreat
382,Namatanai,PG,77.07,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
385,Maxixe,MZ,83.84,light rain,-23.8597,35.3472,Oceano
386,Paramonga,PE,69.57,overcast clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
387,Sao Jose Da Coroa Grande,BR,77.85,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
388,Bubaque,GW,79.12,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
389,Todos Santos,MX,70.02,clear sky,23.45,-110.2167,Hotel California Todos Santos
390,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
397,Ulladulla,AU,76.1,overcast clouds,-35.35,150.4667,Sandpiper Motel
398,Pouembout,NC,81.9,broken clouds,-21.1333,164.9,Camping de Tipenga
400,Warrnambool,AU,72.81,overcast clouds,-38.3833,142.4833,Lady Bay Resort
404,Buala,SB,82.76,light rain,-8.145,159.5921,Maringe Lagoon Lodge
405,Coracao De Maria,BR,71.31,overcast clouds,-12.2333,-38.75,Pousada de Dona Bó
406,Oranjestad,AW,78.91,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
408,Kavaratti,IN,79.81,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
412,Progreso,MX,71.71,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
414,Takoradi,GH,79.27,light rain,4.8845,-1.7554,Raybow International Hotel
415,Paita,PE,69.04,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
