City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Arkhangelskoye,RU,55.8549,35.3287,13.32,92,100,6.8,overcast clouds
242,Bonthe,SL,7.5264,-12.505,74.98,91,31,3.31,light rain
243,Sokoni,TZ,-6.4333,39.55,83.26,77,100,13.47,overcast clouds
244,Vokhtoga,RU,58.8147,41.0461,18.1,90,100,9.15,overcast clouds
245,Upernavik,GL,72.7868,-56.1549,1.62,98,100,7.99,overcast clouds
246,Acapulco,MX,16.8634,-99.8901,76.82,83,0,0.0,clear sky
247,Port Elizabeth,ZA,-33.918,25.5701,71.1,100,100,9.22,light intensity drizzle
248,Constantine,DZ,36.365,6.6147,38.61,87,75,10.36,broken clouds
249,Broome,US,42.2506,-75.833,26.62,78,100,3.0,mist
250,Sao Filipe,CV,14.8961,-24.4956,73.33,70,69,10.29,broken clouds
251,Magistralnyy,RU,56.1725,107.4458,18.72,85,100,5.12,overcast clouds
252,Strezhevoy,RU,60.7333,77.5889,-9.02,97,46,14.74,scattered clouds
253,Mareeba,AU,-17.0,145.4333,91.33,27,19,3.65,few clouds
254,Shadegan,IR,30.6497,48.6647,56.05,44,0,5.1,clear sky
255,Wanaka,NZ,-44.7,169.15,69.82,48,25,1.25,scattered clouds
256,Cay,TR,38.5917,31.0286,36.95,90,100,2.68,overcast clouds
257,Paamiut,GL,61.994,-49.6678,6.57,82,26,6.87,scattered clouds
258,Beloha,MG,-25.1667,45.05,81.1,62,86,12.91,overcast clouds
259,Buchanan,LR,5.8808,-10.0467,76.05,90,74,4.07,broken clouds
260,Berlevag,NO,70.8578,29.0864,26.55,74,100,11.5,light shower snow
261,Verkhoyansk,RU,67.5447,133.385,-35.05,94,100,1.83,overcast clouds
262,Trinidad,BO,-14.8333,-64.9,72.52,91,76,2.68,broken clouds
263,Fortuna,US,40.5982,-124.1573,52.92,94,100,4.0,overcast clouds
264,Quatre Cocos,MU,-20.2078,57.7625,82.09,80,100,3.89,overcast clouds
265,Bengkulu,ID,-3.8004,102.2655,85.12,67,73,8.28,broken clouds
266,College,US,64.8569,-147.8028,-20.99,72,0,0.0,clear sky
267,Namibe,AO,-15.1961,12.1522,69.48,78,99,2.82,overcast clouds
268,Koygorodok,RU,60.445,50.9968,6.82,98,97,4.76,overcast clouds
269,Ottweiler,DE,49.4013,7.1642,35.13,79,100,4.0,light snow
270,Katete,UG,-0.7818,29.7544,66.72,86,93,2.01,light rain
271,Codrington,AU,-38.2667,141.9667,65.91,83,92,14.47,overcast clouds
272,Constitucion,CL,-35.3333,-72.4167,57.83,83,9,4.34,clear sky
273,Saucillo,MX,28.0167,-105.2833,59.54,16,1,6.67,clear sky
274,Sambava,MG,-14.2667,50.1667,81.3,74,88,0.98,overcast clouds
275,Zhangye,CN,38.9342,100.4517,27.5,41,100,4.21,overcast clouds
276,Tabuk,PH,17.4189,121.4443,81.32,61,91,3.62,overcast clouds
277,Olafsvik,IS,64.8945,-23.7142,40.44,68,100,22.37,overcast clouds
278,Tamiahua,MX,21.2667,-97.45,73.54,86,78,2.66,broken clouds
279,Tsaratanana,MG,-16.7833,47.65,80.82,75,100,2.17,overcast clouds
280,Iqaluit,CA,63.7506,-68.5145,-22.45,93,95,9.64,overcast clouds
281,San Juan,AR,-31.5375,-68.5364,79.7,29,3,11.05,clear sky
282,Marystown,CA,47.1666,-55.1483,31.86,100,10,8.99,clear sky
283,Khurda,IN,20.1833,85.6167,76.91,38,5,7.47,clear sky
284,Talnakh,RU,69.4865,88.3972,-18.96,97,100,12.03,overcast clouds
285,Castro,BR,-24.7911,-50.0119,59.49,97,100,5.46,overcast clouds
286,Dossor,KZ,47.5272,52.9811,38.61,94,100,15.7,overcast clouds
287,Aborlan,PH,9.4352,118.5492,83.37,71,65,8.86,broken clouds
288,Bulgan,MN,48.8125,103.5347,17.67,66,28,1.07,scattered clouds
289,Gimli,CA,50.6336,-96.9907,-20.42,100,48,6.13,scattered clouds
290,Skala Fourkas,GR,39.9998,23.3841,47.82,77,100,8.03,overcast clouds
291,Verkhnyaya Inta,RU,65.9811,60.3094,3.47,80,99,8.28,overcast clouds
292,Ous,RU,60.9058,61.5186,7.39,96,100,2.66,light snow
293,Akyab,MM,20.15,92.9,79.07,35,5,3.38,clear sky
294,Mountain Home,US,43.133,-115.6912,40.95,100,0,13.8,clear sky
295,Druzhba,UA,52.0428,33.9453,27.99,94,98,17.74,light snow
296,Mahebourg,MU,-20.4081,57.7,82.26,80,100,5.1,moderate rain
297,Esperance,AU,-33.8667,121.9,72.34,57,6,21.05,clear sky
298,Nishihara,JP,26.1842,127.7558,67.66,56,75,12.66,broken clouds
299,Cockburn Town,TC,21.4612,-71.1419,78.64,75,0,15.64,clear sky
300,Katsuura,JP,35.1333,140.3,52.11,38,0,12.5,clear sky
301,Valdivia,CL,-39.8142,-73.2459,54.21,98,0,2.44,clear sky
302,Lata,PT,40.1629,-8.3327,49.82,95,15,4.0,few clouds
303,Makakilo City,US,21.3469,-158.0858,71.92,79,40,3.44,scattered clouds
304,Bakel,SN,14.905,-12.4568,67.03,20,6,9.22,clear sky
305,Te Anau,NZ,-45.4167,167.7167,65.93,60,37,2.26,scattered clouds
306,Radzyn Podlaski,PL,51.7833,22.6167,25.45,84,20,10.31,few clouds
307,Usakos,NA,-22.0,15.6,72.63,25,1,2.13,clear sky
308,Gamba,GA,-2.65,10.0,76.15,91,50,4.88,scattered clouds
309,Necochea,AR,-38.5473,-58.7368,69.04,40,77,12.24,broken clouds
310,Uruacu,BR,-14.5247,-49.1408,69.73,99,100,4.65,overcast clouds
311,Makinsk,KZ,52.6292,70.4169,20.8,95,99,15.3,overcast clouds
312,Laurel,US,39.0993,-76.8483,34.56,79,100,1.01,snow
