City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Businga,CD,2021-09-26 08:07:35,3.3333,20.8833,82.38,67,86,1.28
193,Nichinan,JP,2021-09-26 08:07:35,31.6,131.3667,84.76,78,24,11.56
194,Suslovo,RU,2021-09-26 08:07:35,56.2167,88.1167,41.56,83,100,9.31
195,Deputatskiy,RU,2021-09-26 08:07:36,69.3,139.9,29.19,89,100,19.98
196,Pontes E Lacerda,BR,2021-09-26 08:07:36,-15.2261,-59.3353,78.35,48,1,3.4
197,Kabare,CD,2021-09-26 08:07:36,-2.4683,28.8242,70.5,62,100,4.05
198,Presidencia Roque Saenz Pena,AR,2021-09-26 08:07:37,-26.7852,-60.4388,57.4,68,0,6.17
199,Siniscola,IT,2021-09-26 08:07:37,40.5719,9.6922,78.35,75,100,7.05
200,Bom Jesus,BR,2021-09-26 08:07:37,-9.0744,-44.3586,71.38,59,1,1.97
201,Vanimo,PG,2021-09-26 08:07:38,-2.6741,141.3028,82.53,78,100,7.25
202,Urumqi,CN,2021-09-26 08:07:38,43.801,87.6005,61.75,22,0,6.71
203,Hami,CN,2021-09-26 08:07:38,42.8,93.45,72.27,13,0,3.42
204,Kingaroy,AU,2021-09-26 08:07:39,-26.5333,151.8333,62.82,78,43,12.3
205,Togitsu,JP,2021-09-26 08:07:39,32.8333,129.85,81.99,65,96,4.43
206,Cabo San Lucas,MX,2021-09-26 08:05:10,22.8909,-109.9124,84.51,82,4,3.0
207,Ust-Ilimsk,RU,2021-09-26 08:07:39,58.0006,102.6619,37.11,98,100,4.52
208,Fairbanks,US,2021-09-26 08:07:28,64.8378,-147.7164,33.76,86,90,0.0
209,Iracoubo,GF,2021-09-26 08:07:40,5.4802,-53.2011,77.22,87,37,6.98
210,Ambon,ID,2021-09-26 08:07:40,-3.6954,128.1814,80.74,89,40,5.75
211,Auki,SB,2021-09-26 08:07:41,-8.7676,160.7034,79.92,82,18,4.03
212,Vila Franca Do Campo,PT,2021-09-26 08:07:41,37.7167,-25.4333,72.19,90,100,6.2
213,Salalah,OM,2021-09-26 08:07:41,17.0151,54.0924,87.89,70,20,10.36
214,Sur,OM,2021-09-26 08:07:42,22.5667,59.5289,93.7,45,8,7.16
215,Bambanglipuro,ID,2021-09-26 08:07:42,-7.95,110.2833,82.06,74,61,16.37
216,Lubao,PH,2021-09-26 08:07:42,14.9167,120.55,90.14,57,14,1.57
217,Solnechnyy,RU,2021-09-26 08:07:42,50.7214,136.6319,59.5,67,27,3.62
218,Chuy,UY,2021-09-26 08:07:43,-33.6971,-53.4616,59.22,84,92,2.82
219,Avarua,CK,2021-09-26 08:07:43,-21.2078,-159.775,69.85,94,20,1.14
220,Provost,CA,2021-09-26 08:07:43,52.3501,-110.2683,52.77,73,96,5.03
221,Kununurra,AU,2021-09-26 08:07:44,-15.7667,128.7333,98.58,20,96,8.05
222,Klyuchi,RU,2021-09-26 08:07:44,52.2667,79.1667,46.18,37,5,12.28
223,Bat Khela,PK,2021-09-26 08:07:44,34.6167,71.9714,87.06,47,0,5.06
224,Colac,AU,2021-09-26 08:07:45,-38.3333,143.5833,55.62,65,2,8.52
225,Ondangwa,NA,2021-09-26 08:07:45,-17.9167,15.95,83.39,12,0,9.31
226,Boyolangu,ID,2021-09-26 08:07:45,-8.1181,111.8935,80.46,76,81,11.25
227,Meulaboh,ID,2021-09-26 08:07:46,4.1363,96.1285,79.39,86,100,10.45
228,Hendrina,ZA,2021-09-26 08:07:46,-26.1588,29.7153,79.27,21,4,5.91
229,Tura,IN,2021-09-26 08:07:46,25.5198,90.2201,89.24,65,23,2.89
230,Lubango,AO,2021-09-26 08:07:46,-14.9172,13.4925,79.84,17,0,10.33
231,Sibolga,ID,2021-09-26 08:07:18,1.7427,98.7792,81.88,84,100,4.97
232,Dzhubga,RU,2021-09-26 08:07:47,44.3211,38.7039,66.07,64,28,15.57
233,Chokurdakh,RU,2021-09-26 08:07:47,70.6333,147.9167,32.68,98,100,16.58
234,Waiouru,NZ,2021-09-26 08:07:47,-39.4833,175.6667,39.74,97,98,2.86
235,Wangqing,CN,2021-09-26 08:07:48,43.3218,129.7634,68.68,76,51,2.08
236,Vila Velha,BR,2021-09-26 08:03:02,-20.3297,-40.2925,69.75,78,20,9.22
237,Caruray,PH,2021-09-26 08:07:48,10.3094,119.0128,84.67,74,93,0.25
238,Bud,US,2021-09-26 08:07:48,39.447,-86.1758,52.34,93,2,6.33
239,Chupa,RU,2021-09-26 08:07:49,66.27,33.0549,48.07,90,100,1.25
240,Abu Dhabi,AE,2021-09-26 08:06:41,24.4667,54.3667,100.42,44,0,13.8
241,Vangaindrano,MG,2021-09-26 08:07:49,-23.35,47.6,73.51,78,63,10.22
242,Rio Grande,BR,2021-09-26 08:07:49,-32.035,-52.0986,57.94,91,6,4.72
243,Key West,US,2021-09-26 08:07:50,24.5557,-81.7826,84.2,79,40,4.61
244,Lundazi,ZM,2021-09-26 08:07:50,-12.2929,33.1782,82.0,28,5,11.68
245,Hokitika,NZ,2021-09-26 08:07:50,-42.7167,170.9667,46.0,69,7,7.14
246,Pangnirtung,CA,2021-09-26 08:07:51,66.1451,-65.7125,32.04,64,44,2.91
